    8     804        1366.9906         0.200 
    9     804        1366.9911         0.200 
   10     804        1366.9917         0.200 
   11     804        1366.9922         0.200 
   12     804        1366.9928         0.200 
    1     805        1366.9933         0.200 
    2     805        1366.9939         0.200 
    3     805        1366.9944         0.200 
    4     805        1366.9950         0.200 
    5     805        1366.9956         0.200 
    6     805        1366.9961         0.200 
    7     805        1366.9967         0.200 
    8     805        1366.9972         0.200 
    9     805        1366.9978         0.200 
   10     805        1366.9983         0.200 
   11     805        1366.9989         0.200 
   12     805        1366.9994         0.200 
    1     806        1367.0000         0.200 
    2     806        1367.0006         0.200 
    3     806        1367.0011         0.200 
    4     806        1367.0017         0.200 
    5     806        1367.0022         0.200 
    6     806        1367.0028         0.200 
    7     806        1367.0033         0.200 
    8     806        1367.0039         0.200 
    9     806        1367.0044         0.200 
   10     806        1367.0050         0.200 
   11     806        1367.0056         0.200 
   12     806        1367.0061         0.200 
    1     807        1367.0067         0.200 
    2     807        1367.0072         0.200 
    3     807        1367.0078         0.200 
    4     807        1367.0083         0.200 
    5     807        1367.0089         0.200 
    6     807        1367.0094         0.200 
    7     807        1367.0100         0.200 
    8     807        1367.0106         0.200 
    9     807        1367.0111         0.200 
   10     807        1367.0117         0.200 
   11     807        1367.0122         0.200 
   12     807        1367.0128         0.200 
    1     808        1367.0133         0.200 
    2     808        1367.0139         0.200 
    3     808        1367.0144         0.200 
    4     808        1367.0150         0.200 
    5     808        1367.0156         0.200 
    6     808        1367.0161         0.200 
    7     808        1367.0167         0.200 
    8     808        1367.0172         0.200 
    9     808        1367.0178         0.200 
   10     808        1367.0183         0.200 
   11     808        1367.0189         0.200 
   12     808        1367.0194         0.200 
    1     809        1367.0200         0.200 
    2     809        1367.0206         0.200 
    3     809        1367.0211         0.200 
    4     809        1367.0217         0.200 
    5     809        1367.0222         0.200 
    6     809        1367.0228         0.200 
    7     809        1367.0233         0.200 
    8     809        1367.0239         0.200 
    9     809        1367.0244         0.200 
   10     809        1367.0250         0.200 
   11     809        1367.0256         0.200 
   12     809        1367.0261         0.200 
    1     810        1367.0267         0.200 
    2     810        1367.0272         0.200 
    3     810        1367.0278         0.200 
    4     810        1367.0283         0.200 
    5     810        1367.0289         0.200 
    6     810        1367.0294         0.200 
    7     810        1367.0300         0.200 
    8     810        1367.0306         0.200 
    9     810        1367.0311         0.200 
   10     810        1367.0317         0.200 
   11     810        1367.0322         0.200 
   12     810        1367.0328         0.200 
    1     811        1367.0333         0.200 
    2     811        1367.0339         0.200 
    3     811        1367.0344         0.200 
    4     811        1367.0350         0.200 
    5     811        1367.0356         0.200 
    6     811        1367.0361         0.200 
    7     811        1367.0367         0.200 
    8     811        1367.0372         0.200 
    9     811        1367.0378         0.200 
   10     811        1367.0383         0.200 
   11     811        1367.0389         0.200 
   12     811        1367.0394         0.200 
    1     812        1367.0400         0.200 
    2     812        1367.0406         0.200 
    3     812        1367.0411         0.200 
    4     812        1367.0417         0.200 
    5     812        1367.0422         0.200 
    6     812        1367.0428         0.200 
    7     812        1367.0433         0.200 
    8     812        1367.0439         0.200 
    9     812        1367.0444         0.200 
   10     812        1367.0450         0.200 
   11     812        1367.0456         0.200 
   12     812        1367.0461         0.200 
    1     813        1367.0467         0.200 
    2     813        1367.0472         0.200 
    3     813        1367.0478         0.200 
    4     813        1367.0483         0.200 
    5     813        1367.0489         0.200 
    6     813        1367.0494         0.200 
    7     813        1367.0500         0.200 
    8     813        1367.0506         0.200 
    9     813        1367.0511         0.200 
   10     813        1367.0517         0.200 
   11     813        1367.0522         0.200 
   12     813        1367.0528         0.200 
    1     814        1367.0533         0.200 
    2     814        1367.0539         0.200 
    3     814        1367.0544         0.200 
    4     814        1367.0550         0.200 
    5     814        1367.0556         0.200 
    6     814        1367.0561         0.200 
    7     814        1367.0567         0.200 
    8     814        1367.0572         0.200 
    9     814        1367.0578         0.200 
   10     814        1367.0583         0.200 
   11     814        1367.0589         0.200 
   12     814        1367.0594         0.200 
    1     815        1367.0600         0.200 
    2     815        1367.0606         0.200 
    3     815        1367.0611         0.200 
    4     815        1367.0617         0.200 
    5     815        1367.0622         0.200 
    6     815        1367.0628         0.200 
    7     815        1367.0633         0.200 
    8     815        1367.0639         0.200 
    9     815        1367.0644         0.200 
   10     815        1367.0650         0.200 
   11     815        1367.0656         0.200 
