Year	mil0021	mil0025	mil0026
987	281.16116	279.34442	281.25296
988	279.71024	278.87418	279.60226
989	280.85025	280.49988	279.52457
990	280.97507	281.15671	281.15207
991	279.54196	280.48355	280.98514
992	279.67551	279.43451	279.68832
993	280.28867	280.55783	278.91153
994	279.28561	281.05313	279.53772
995	278.92844	279.83762	280.79178
996	280.23685	279.29532	281.08249
997	280.89493	279.54474	280.09702
998	279.91422	278.50449	280.16473
999	279.20096	278.64487	281.35297
1000	279.7948	279.53714	280.26505
1001	279.45889	279.75385	279.19962
1002	278.83829	279.88559	279.74509
1003	280.22995	280.14206	280.08707
1004	281.00598	281.38828	279.94138
1005	279.99197	280.20078	279.79233
1006	280.71164	279.42255	280.45749
1007	280.68283	281.16296	280.10757
1008	280.25018	281.02255	278.50729
1009	280.92728	279.82437	278.88843
1010	280.79358	281.18784	279.88901
1011	280.51273	281.13498	279.76056
1012	281.75323	279.2883	279.00879
1013	281.43375	280.64215	279.75491
1014	280.31223	280.86514	280.34476
1015	281.20844	279.56699	279.62271
1016	281.44763	279.49179	279.54257
1017	280.91147	281.30746	280.31924
1018	281.20901	281.32544	279.56015
1019	280.65335	280.2522	280.17477
1020	280.51608	281.01309	280.78986
1021	281.20407	281.46207	281.23508
1022	280.74234	280.827	280.5238
1023	280.13821	279.85983	279.13989
1024	280.6138	279.25775	279.74826
1025	281.11066	279.02023	280.5643
1026	280.09857	279.0607	280.1651
1027	280.32233	280.18326	280.10922
1028	280.39951	280.41574	279.88904
1029	278.73477	279.20407	279.5444
1030	278.41391	279.82733	280.32104
1031	280.08255	280.51825	280.21405
1032	279.75272	279.96042	279.27759
1033	279.11749	280.48944	280.21408
1034	280.22543	281.69708	280.15994
1035	279.39023	281.64017	278.94992
1036	278.89139	280.05679	279.48264
1037	280.04507	279.67883	280.39828
1038	280.40775	281.30524	278.93027
1039	278.9949	280.8782	278.8219
1040	279.77939	279.1731	279.88312
1041	280.02893	280.19534	279.4563
1042	278.7637	279.98972	278.1022
1043	278.46036	278.61365	278.82199
1044	279.58719	279.18887	279.54819
1045	279.660	280.33432	279.56552
1046	278.80679	279.11697	280.03162
1047	279.18472	278.54129	279.68741
1048	280.38745	278.86948	279.93286
1049	279.71481	279.48083	279.84921
1050	278.87546	279.74896	278.81567
1051	280.14267	279.98257	278.25052
1052	279.75189	280.98401	278.74289
1053	278.4971	279.9863	279.24371
1054	278.85529	278.94992	278.77582
1055	279.36124	279.74908	278.90378
1056	279.37634	280.04135	279.93536
1057	279.61288	278.94016	279.40414
1058	281.22104	279.04996	279.46664
1059	280.82877	279.64651	280.47275
1060	279.64584	279.09058	279.63504
1061	280.18912	278.28708	278.2381
1062	280.72266	278.89664	278.69348
1063	279.64709	280.02805	279.3569
1064	279.70834	279.52542	277.81528
1065	279.63043	278.54883	278.53586
1066	279.38528	280.16959	280.2319
1067	279.11618	280.28687	279.83472
1068	280.1221	279.56525	278.4404
1069	280.46329	280.48981	278.28232
1070	280.45709	280.24512	278.63217
1071	279.92755	279.68411	278.38498
1072	279.92996	279.52554	278.65652
1073	280.67078	279.0368	279.43195
1074	281.02124	279.40109	279.55438
1075	279.586	280.09415	278.27438
1076	279.21454	279.67673	278.64993
1077	280.40836	279.55933	279.31808
1078	280.11551	279.68417	278.56247
1079	279.10828	279.21008	278.22858
1080	279.52975	279.28696	279.39682
1081	279.46024	280.49686	279.92426
1082	278.93228	279.7449	279.13669
1083	278.9325	279.11246	278.72394
1084	281.01859	279.89716	279.2258
1085	281.34109	279.81271	278.93988
1086	280.34689	279.13104	279.65048
1087	280.59708	279.64035	280.32693
1088	281.70047	280.2738	280.84616
1089	281.39609	279.05624	280.33228
1090	280.16537	278.75375	279.35248
1091	280.02774	279.50436	280.33493
1092	279.76523	279.30847	280.43121
1093	279.25296	279.00385	279.46878
1094	279.37234	279.50632	278.53809
1095	280.02496	279.69519	279.23471
1096	279.96457	278.8457	280.09866
1097	279.8461	279.98291	280.59717
1098	281.58566	280.08408	280.50635
1099	281.29578	278.8071	280.68558
1100	279.27866	279.75339	280.75305
1101	280.43359	280.561	280.76178
1102	280.75903	279.6163	279.88739
1103	280.23068	280.42395	280.33603
1104	280.59158	280.06418	281.37949
1105	281.08624	279.42358	280.96271
1106	280.01047	280.3837	279.65454
1107	279.41763	280.66483	280.72604
1108	279.68253	279.12869	281.53839
1109	281.13412	280.40152	280.2128
1110	280.92514	281.12314	279.99936
1111	280.53867	279.60864	281.08847
1112	282.07324	279.11279	281.18594
1113	281.61496	280.68402	280.04251
1114	279.49899	280.79605	280.30014
1115	279.94363	280.01575	280.5827
1116	281.04355	281.03769	279.24356
1117	279.90012	280.83249	279.13507
1118	280.53387	280.49466	279.84424
1119	281.76901	281.82651	279.51859
1120	281.44952	281.69431	279.91806
1121	280.28363	279.9953	280.73508
1122	280.81595	281.23221	280.28159
1123	280.87057	281.28738	279.76968
1124	281.02402	280.50375	280.56961
1125	281.8685	280.95773	280.26392
1126	281.95523	280.81604	278.85071
1127	281.72879	280.95731	279.6752
1128	281.52335	282.0423	281.1369
1129	280.38406	281.50635	280.32849
1130	280.78302	280.88748	279.5748
1131	281.35562	281.29248	281.10184
1132	280.87106	281.31979	281.46274
1133	281.88766	280.26999	279.96292
1134	282.4072	280.40387	279.94821
1135	281.83942	282.39951	281.26627
1136	282.24271	281.84903	280.94772
1137	282.58084	281.01627	280.96893
1138	281.92889	280.92703	281.7438
1139	282.45001	280.69455	281.44009
1140	282.46899	281.23694	280.49319
1141	282.46545	282.38953	281.98965
1142	282.30371	281.97589	283.04282
1143	280.85941	281.28986	281.86649
1144	281.89169	281.63306	281.36981
1145	281.93576	281.05255	282.36972
1146	281.0661	281.71448	281.81531
1147	282.48123	281.2872	281.11835
1148	282.8454	280.5293	282.34329
1149	282.27972	280.97043	283.02277
1150	282.37473	281.26132	281.93967
1151	283.17551	280.26175	281.72678
1152	283.30457	280.88034	281.70285
1153	282.72491	281.25052	281.20383
1154	283.06012	280.82071	281.3468
1155	282.46396	281.7153	281.53537
1156	282.79999	281.25098	281.18808
1157	282.40643	279.68723	280.83347
1158	281.31882	281.06454	282.01062
1159	281.66125	281.34805	281.51089
1160	283.4628	280.93661	280.51205
1161	282.78317	280.96542	281.93222
1162	281.29715	280.01688	282.29987
1163	281.65866	279.60114	281.34082
1164	281.67953	281.28662	281.35233
1165	280.95963	281.93359	282.10962
1166	282.25333	281.2438	281.60764
1167	282.9444	280.45087	280.55923
1168	282.00299	281.91095	281.46115
1169	282.03775	282.29718	281.98209
1170	283.33603	281.23581	282.08347
1171	282.52533	281.24908	282.0903
1172	281.92343	282.07162	281.42514
1173	282.80347	282.27274	281.96225
1174	282.93503	282.73221	282.07364
1175	281.66656	283.20773	281.65292
1176	281.16177	282.13626	281.37616
1177	282.07693	282.24228	282.44043
1178	281.71881	283.02646	281.28851
1179	281.54349	282.71762	279.78384
1180	282.96667	282.48904	280.52615
1181	283.08868	282.7291	282.07257
1182	282.03702	283.02463	281.71429
1183	283.28101	282.30576	281.57175
1184	282.40262	282.74216	281.98318
1185	280.86502	282.64111	282.04266
1186	282.40091	282.69901	282.30228
1187	282.58334	282.17767	281.78668
1188	281.49274	281.40836	280.92657
1189	282.85361	281.75638	280.50125
1190	283.36121	283.06857	281.71841
1191	282.10886	282.08765	282.28262
1192	282.66467	280.79379	282.32617
1193	283.11755	282.43149	282.18118
1194	282.4744	281.8103	283.09232
1195	282.73318	280.81827	281.88028
1196	282.55484	281.57135	280.40359
1197	281.4697	282.33603	280.46506
1198	281.88354	281.74942	281.61679
1199	283.07291	282.83548	281.3309
