year,tmean,dd_sum,growing_weeks
2015,2.4724881868131914,1019.707500000001,23
2016,3.164998946886451,1153.810000000001,22
2017,2.7974948787061997,1161.3551000000002,21
2018,0.24963714285714492,910.4948000000009,20
2019,2.3697002695417773,1180.7753999999998,24
2020,1.735046336996338,882.5821999999998,22
2021,1.9224972527472497,1152.7138999999993,23
2022,1.5858576819407029,979.5840000000003,22
2023,0.6759730458221034,1011.0142999999998,21
2024,3.6946209523809515,1136.027,25
2025,2.4860768194070086,1072.5524000000003,22
2026,1.337617582417585,1252.5145000000007,22
2027,3.7282318681318674,1280.8809999999999,22
2028,1.8184829739443007,1202.057100000002,24
2029,2.2115414285714285,1344.2579000000007,24
2030,2.786827223719676,1085.2298999999998,25
2031,2.2284366576819417,1182.9511000000007,20
2032,2.3236746336996346,1104.8645,21
2033,2.5489239010989,1254.6802,24
2034,2.355407277628035,1244.8397999999995,26
2035,3.0819540259740226,1142.0720999999987,24
2036,4.234277807726867,1138.189200000001,25
2037,3.610095604395604,1107.2475000000002,23
2038,4.0564434065934085,1391.733600000001,25
2039,2.9790792452830184,1126.9863,23
2040,3.2126196103896114,1384.5818000000002,24
2041,3.230531536388138,1263.8274999999992,24
2042,3.2385369272237217,1243.8996000000009,24
2043,3.613660714285712,1132.1524999999992,24
2044,2.538213919413918,1097.2597999999998,24
2045,3.481776010781678,1155.7690000000018,22
2046,2.680534545454549,1353.561400000001,25
2047,2.0060291105121277,1049.8962000000004,23
2048,3.2683754578754542,1287.762999999999,25
2049,3.3473299450549456,1121.1865,22
2050,2.677065498652289,1045.2403999999988,22
2051,2.6699288409703525,1076.6235000000006,22
2052,2.661143073593074,1403.1907000000003,22
2053,4.431893530997307,1357.384800000001,27
2054,3.787197252747254,1336.9862000000003,23
2055,3.8440530219780182,1205.607499999999,26
2056,3.9757324797843667,1382.5419000000002,25
2057,3.746597922077922,1306.1763000000005,25
2058,3.6201520215633405,1207.897599999999,24
2059,3.663501617250675,1282.7239000000004,24
2060,4.928968635531135,1309.2549999999999,24
2061,3.244027472527471,1371.8939999999996,23
2062,2.987737735849055,1191.8176999999996,24
2063,2.515299740259742,1070.044000000001,21
2064,2.68171248876909,1078.3738999999991,21
2065,4.691042307692308,1502.6870000000001,25
2066,2.3320417582417603,1188.7189000000014,23
2067,2.668853099730458,1222.8591000000001,23
2068,3.0866968831168844,1062.5615000000003,24
2069,3.4260784366576837,1359.9043999999992,24
2070,3.3967234501347745,1346.1762000000015,23
2071,1.7585862637362635,1281.2070999999996,25
2072,2.0542973901098893,1101.8947999999996,21
2073,4.434237870619948,1516.4922000000008,25
2074,4.088473506493505,1330.8691,24
2075,4.064036927223719,1346.8750999999997,25
2076,4.51249665750916,1299.929000000001,22
2077,3.421980494505495,1164.4129,23
2078,4.35696307277628,1460.8292999999992,25
2079,3.2471304582210228,1220.8121999999994,24
2080,2.135601038961038,1308.3502,24
2081,1.821180053908354,1149.3625000000002,25
2082,2.9082315934065934,1406.2039,24
2083,3.666737087912087,1328.0916,25
2084,1.507898158131175,1040.7707999999993,18
2085,3.441585454545454,1239.1487999999995,25
2086,2.6041574123989197,1314.1811,25
2087,4.308139353099731,1337.9130000000005,24
2088,2.021661263736264,1285.1162000000004,23
2089,2.822849175824175,1163.8794000000003,24
2090,2.1938132075471724,1342.8101000000008,24
2091,1.3625831168831162,985.4670999999993,19
2092,4.150304986522911,1458.9882999999998,25
2093,3.90895769230769,1190.4781999999993,22
2094,2.2168972527472537,1065.3166000000003,21
2095,3.4569086253369226,1292.7127999999982,25
2096,3.6523935930735916,1281.9374999999995,22
2097,3.8567347708894895,1291.7269000000006,23
2098,2.1784762803234523,1226.3474,21
2099,3.2222101648351678,1237.1398000000015,23
2100,3.1546225274725264,1362.5819000000004,22
