"","X.1","X","Lat","Lon","Year","Week","W","Temp","Location","Cpool"
"11094",3674,3674,55.4935968873241,12.9403251232,2084,17,0.723790577507599,8.24834285714286,"Malmö",1.48075478281244
"11095",3675,3675,55.4935968873241,12.9403251232,2084,18,0.66092537993921,9.09082857142857,"Malmö",1.70762734499586
"11096",3676,3676,55.4935968873241,12.9403251232,2084,19,0.647229483282675,13.5813,"Malmö",1.82736381590484
"11097",3677,3677,55.4935968873241,12.9403251232,2084,20,0.632995744680851,14.5631,"Malmö",1.91354028837596
"11098",3678,3678,55.4935968873241,12.9403251232,2084,21,0.541356382978723,15.9657,"Malmö",2.1427163179158
"11099",3679,3679,55.4935968873241,12.9403251232,2084,22,0.465059118541033,15.9417428571429,"Malmö",2.25544993956989
"11100",3680,3680,55.4935968873241,12.9403251232,2084,23,0.408842857142857,17.8360571428571,"Malmö",2.44543943211922
"11101",3681,3681,55.4935968873241,12.9403251232,2084,24,0.365251671732523,19.8184285714286,"Malmö",2.65727479563707
"11102",3682,3682,55.4935968873241,12.9403251232,2084,25,0.395780243161094,16.0858571428571,"Malmö",2.83826604550598
"11103",3683,3683,55.4935968873241,12.9403251232,2084,26,0.360533282674772,16.4787714285714,"Malmö",2.89410545480978
"11104",3684,3684,55.4935968873241,12.9403251232,2084,27,0.362400151975684,15.1142142857143,"Malmö",2.93031273127089
"11105",3685,3685,55.4935968873241,12.9403251232,2084,28,0.314769300911854,20.2504142857143,"Malmö",3.00530291678467
"11106",3686,3686,55.4935968873241,12.9403251232,2084,29,0.31978829787234,17.4451,"Malmö",3.19329546100012
"11107",3687,3687,55.4935968873241,12.9403251232,2084,30,0.307755623100304,17.3007,"Malmö",3.24766823042154
"11108",3688,3688,55.4935968873241,12.9403251232,2084,31,0.303657750759878,21.8740714285714,"Malmö",3.3155877890043
"11109",3689,3689,55.4935968873241,12.9403251232,2084,32,0.388360334346505,22.2246428571429,"Malmö",3.3553702920332
"11110",3690,3690,55.4935968873241,12.9403251232,2084,33,0.550233434650456,19.6737857142857,"Malmö",3.4011939045914
"11111",3691,3691,55.4935968873241,12.9403251232,2084,34,0.51574103343465,19.3240714285714,"Malmö",3.42059519901669
"11112",3692,3692,55.4935968873241,12.9403251232,2084,35,0.429204711246201,20.2145142857143,"Malmö",3.48588536014094
"11113",3693,3693,55.4935968873241,12.9403251232,2084,36,0.374432218844985,19.9044428571429,"Malmö",3.39533981796093
"11114",3694,3694,55.4935968873241,12.9403251232,2084,37,0.357238753799392,17.1692714285714,"Malmö",3.33241026413466
"11115",3695,3695,55.4935968873241,12.9403251232,2084,38,0.489281003039514,16.8132428571429,"Malmö",3.30537759142475
"11116",3696,3696,55.4935968873241,12.9403251232,2084,39,0.603833890577508,15.5994285714286,"Malmö",3.25073864928551
"11117",3697,3697,55.4935968873241,12.9403251232,2084,40,0.679982218844985,13.4035857142857,"Malmö",3.20175173023415
"11118",3698,3698,55.4935968873241,12.9403251232,2084,41,0.725296808510638,14.9685571428571,"Malmö",3.14129980334535
"11119",3699,3699,55.4935968873241,12.9403251232,2084,42,0.681337689969605,15.1102285714286,"Malmö",3.03303097032202
"11120",3700,3700,55.4935968873241,12.9403251232,2084,43,0.707897568389058,11.8517714285714,"Malmö",2.83915951049321
"11121",3701,3701,55.4935968873241,12.9403251232,2084,44,0.76326367781155,12.4107,"Malmö",2.66793553438821
"11122",3702,3702,55.4935968873241,12.9403251232,2084,45,0.883628723404255,9.14342857142857,"Malmö",2.50066321000107
"11123",3703,3703,55.4935968873241,12.9403251232,2084,46,0.891442401215805,7.89351428571429,"Malmö",2.32140341897498
"11124",3704,3704,55.4935968873241,12.9403251232,2084,47,0.853267781155015,7.63712857142857,"Malmö",2.15870498721336
"11125",3705,3705,55.4935968873241,12.9403251232,2084,48,0.880843009118541,7.07861428571429,"Malmö",2.00729466597293
"11126",3706,3706,55.4935968873241,12.9403251232,2084,49,0.918544832826748,2.54767142857143,"Malmö",1.87710266587072
"11127",3707,3707,55.4935968873241,12.9403251232,2084,50,0.954520060790274,5.19755714285714,"Malmö",1.75045982355089
"11128",3708,3708,55.4935968873241,12.9403251232,2084,51,0.962336778115501,6.08087142857143,"Malmö",1.62160925563806
"11129",3709,3709,55.4935968873241,12.9403251232,2084,52,0.963812006079027,5.00961428571429,"Malmö",1.50197898098545
"11130",3710,3710,55.4935968873241,12.9403251232,2084,53,0.958307369237589,4.87805,"Malmö",1.43761390358952
"11131",8269,8269,62.6302820672555,18.0285446075415,2085,1,0.934068421052632,-8.85181428571429,"Härnösand",1.00912735316566
"11132",8270,8270,62.6302820672555,18.0285446075415,2085,2,0.922754135338346,-4.31095714285714,"Härnösand",1.03682271485194
"11133",8271,8271,62.6302820672555,18.0285446075415,2085,3,0.882896240601504,-8.17068571428571,"Härnösand",1.0011331903838
"11134",8272,8272,62.6302820672555,18.0285446075415,2085,4,0.879164876476907,-4.78772857142857,"Härnösand",0.938878477564415
"11135",8273,8273,62.6302820672555,18.0285446075415,2085,5,0.869834693877551,-5.38,"Härnösand",0.871603339675731
"11136",8274,8274,62.6302820672555,18.0285446075415,2085,6,0.88224597207304,-8.23548571428571,"Härnösand",0.81916229114962
"11137",8275,8275,62.6302820672555,18.0285446075415,2085,7,0.884301664876477,-9.87325714285714,"Härnösand",0.789340078030504
"11138",8276,8276,62.6302820672555,18.0285446075415,2085,8,0.883476584317938,-0.5181,"Härnösand",0.783654255580871
"11139",8277,8277,62.6302820672555,18.0285446075415,2085,9,0.942955692803437,-1.11708571428571,"Härnösand",0.781323617709511
"11140",8278,8278,62.6302820672555,18.0285446075415,2085,10,0.95165918367347,-0.688042857142857,"Härnösand",0.801901536855293
"11141",8279,8279,62.6302820672555,18.0285446075415,2085,11,0.938946885069817,-0.688014285714286,"Härnösand",0.81242718718048
"11142",8280,8280,62.6302820672555,18.0285446075415,2085,12,0.930287325456498,-3.50198571428571,"Härnösand",0.78048901062128
"11143",8281,8281,62.6302820672555,18.0285446075415,2085,13,0.929142803437164,1.52117142857143,"Härnösand",0.760738681655253
"11144",8282,8282,62.6302820672555,18.0285446075415,2085,14,0.959343931256713,4.10627142857143,"Härnösand",0.818166257282037
"11145",8283,8283,62.6302820672555,18.0285446075415,2085,15,0.955766809881847,4.06261428571429,"Härnösand",0.986988022470601
"11146",8284,8284,62.6302820672555,18.0285446075415,2085,16,0.923557948442535,3.13114285714286,"Härnösand",1.2333000950698
"11147",8285,8285,62.6302820672555,18.0285446075415,2085,17,0.934400161117078,6.75508571428571,"Härnösand",1.48075478281244
"11148",8286,8286,62.6302820672555,18.0285446075415,2085,18,0.838454887218045,5.63405714285714,"Härnösand",1.70762734499586
"11149",8287,8287,62.6302820672555,18.0285446075415,2085,19,0.764064500537057,10.0047571428571,"Härnösand",1.82736381590484
"11150",8288,8288,62.6302820672555,18.0285446075415,2085,20,0.748137003222342,14.2555,"Härnösand",1.91354028837596
"11151",8289,8289,62.6302820672555,18.0285446075415,2085,21,0.716910257787325,13.2312428571429,"Härnösand",2.1427163179158
"11152",8290,8290,62.6302820672555,18.0285446075415,2085,22,0.751858861439313,13.0263142857143,"Härnösand",2.25544993956989
"11153",8291,8291,62.6302820672555,18.0285446075415,2085,23,0.629131954887218,19.7713857142857,"Härnösand",2.44543943211922
"11154",8292,8292,62.6302820672555,18.0285446075415,2085,24,0.619494360902256,14.2880714285714,"Härnösand",2.65727479563707
"11155",8293,8293,62.6302820672555,18.0285446075415,2085,25,0.624399570354458,15.8051285714286,"Härnösand",2.83826604550598
"11156",8294,8294,62.6302820672555,18.0285446075415,2085,26,0.555174221267454,19.5348571428571,"Härnösand",2.89410545480978
"11157",8295,8295,62.6302820672555,18.0285446075415,2085,27,0.47840171858217,19.3316571428571,"Härnösand",2.93031273127089
"11158",8296,8296,62.6302820672555,18.0285446075415,2085,28,0.461522824919441,18.2807857142857,"Härnösand",3.00530291678467
"11159",8297,8297,62.6302820672555,18.0285446075415,2085,29,0.418690494092374,19.6652428571429,"Härnösand",3.19329546100012
"11160",8298,8298,62.6302820672555,18.0285446075415,2085,30,0.469110418904404,18.3308285714286,"Härnösand",3.24766823042154
"11161",8299,8299,62.6302820672555,18.0285446075415,2085,31,0.43790096670247,20.2841142857143,"Härnösand",3.3155877890043
"11162",8300,8300,62.6302820672555,18.0285446075415,2085,32,0.358721858216971,19.7092571428571,"Härnösand",3.3553702920332
"11163",8301,8301,62.6302820672555,18.0285446075415,2085,33,0.334695649838883,15.9324857142857,"Härnösand",3.4011939045914
"11164",8302,8302,62.6302820672555,18.0285446075415,2085,34,0.415990118152524,15.6223142857143,"Härnösand",3.42059519901669
"11165",8303,8303,62.6302820672555,18.0285446075415,2085,35,0.498884049409237,14.0897571428571,"Härnösand",3.48588536014094
"11166",8304,8304,62.6302820672555,18.0285446075415,2085,36,0.465395810955961,14.0407571428571,"Härnösand",3.39533981796093
"11167",8305,8305,62.6302820672555,18.0285446075415,2085,37,0.450435177228786,14.9079142857143,"Härnösand",3.33241026413466
"11168",8306,8306,62.6302820672555,18.0285446075415,2085,38,0.405424758324382,12.4349285714286,"Härnösand",3.30537759142475
"11169",8307,8307,62.6302820672555,18.0285446075415,2085,39,0.574754833512352,11.1341714285714,"Härnösand",3.25073864928551
"11170",8308,8308,62.6302820672555,18.0285446075415,2085,40,0.642860204081633,7.81985714285714,"Härnösand",3.20175173023415
"11171",8309,8309,62.6302820672555,18.0285446075415,2085,41,0.703448227712138,10.2451,"Härnösand",3.14129980334535
"11172",8310,8310,62.6302820672555,18.0285446075415,2085,42,0.866015682062299,8.87657142857143,"Härnösand",3.03303097032202
"11173",8311,8311,62.6302820672555,18.0285446075415,2085,43,0.820665252416756,10.0892142857143,"Härnösand",2.83915951049321
"11174",8312,8312,62.6302820672555,18.0285446075415,2085,44,0.804813157894737,4.66508571428571,"Härnösand",2.66793553438821
"11175",8313,8313,62.6302820672555,18.0285446075415,2085,45,0.926182706766917,2.39098571428571,"Härnösand",2.50066321000107
"11176",8314,8314,62.6302820672555,18.0285446075415,2085,46,0.926171213748657,2.5778,"Härnösand",2.32140341897498
"11177",8315,8315,62.6302820672555,18.0285446075415,2085,47,0.878062513426423,0.743614285714286,"Härnösand",2.15870498721336
"11178",8316,8316,62.6302820672555,18.0285446075415,2085,48,0.902460848549946,-3.08195714285714,"Härnösand",2.00729466597293
"11179",8317,8317,62.6302820672555,18.0285446075415,2085,49,0.92292395273899,-6.43652857142857,"Härnösand",1.87710266587072
"11180",8318,8318,62.6302820672555,18.0285446075415,2085,50,0.860884801288937,-7.38651428571429,"Härnösand",1.75045982355089
"11181",8319,8319,62.6302820672555,18.0285446075415,2085,51,0.761539205155746,-8.42964285714286,"Härnösand",1.62160925563806
"11182",8320,8320,62.6302820672555,18.0285446075415,2085,52,0.719536627282492,-3.10224285714286,"Härnösand",1.50197898098545
"11183",8321,8321,62.6302820672555,18.0285446075415,2085,53,0.716262222222222,-5.7101,"Härnösand",1.43761390358952
"11184",12827,12827,65.6218225541229,21.9554795979508,2085,1,0.922561996336996,-7.52245714285714,"Luleå",1.00912735316566
"11185",12828,12828,65.6218225541229,21.9554795979508,2085,2,0.932239468864469,-5.78774285714286,"Luleå",1.03682271485194
"11186",12829,12829,65.6218225541229,21.9554795979508,2085,3,0.947594139194139,-12.2278857142857,"Luleå",1.0011331903838
"11187",12830,12830,65.6218225541229,21.9554795979508,2085,4,0.956439010989011,-10.5365428571429,"Luleå",0.938878477564415
"11188",12831,12831,65.6218225541229,21.9554795979508,2085,5,0.960791483516483,-10.1225571428571,"Luleå",0.871603339675731
"11189",12832,12832,65.6218225541229,21.9554795979508,2085,6,0.961769047619048,-10.6604285714286,"Luleå",0.81916229114962
"11190",12833,12833,65.6218225541229,21.9554795979508,2085,7,0.961749542124542,-11.9540857142857,"Luleå",0.789340078030504
"11191",12834,12834,65.6218225541229,21.9554795979508,2085,8,0.961355677655678,-4.92774285714286,"Luleå",0.783654255580871
"11192",12835,12835,65.6218225541229,21.9554795979508,2085,9,0.959345512820513,-7.10835714285714,"Luleå",0.781323617709511
"11193",12836,12836,65.6218225541229,21.9554795979508,2085,10,0.950908791208791,-4.51942857142857,"Luleå",0.801901536855293
"11194",12837,12837,65.6218225541229,21.9554795979508,2085,11,0.9442836996337,-5.19497142857143,"Luleå",0.81242718718048
"11195",12838,12838,65.6218225541229,21.9554795979508,2085,12,0.943624908424908,-7.10582857142857,"Luleå",0.78048901062128
"11196",12839,12839,65.6218225541229,21.9554795979508,2085,13,0.944374542124542,-2.37331428571429,"Luleå",0.760738681655253
"11197",12840,12840,65.6218225541229,21.9554795979508,2085,14,0.9571,2.50435714285714,"Luleå",0.818166257282037
"11198",12841,12841,65.6218225541229,21.9554795979508,2085,15,0.958755402930403,0.684028571428572,"Luleå",0.986988022470601
"11199",12842,12842,65.6218225541229,21.9554795979508,2085,16,0.945569139194139,0.1191,"Luleå",1.2333000950698
"11200",12843,12843,65.6218225541229,21.9554795979508,2085,17,0.953122985347985,3.06927142857143,"Luleå",1.48075478281244
"11201",12844,12844,65.6218225541229,21.9554795979508,2085,18,0.915528205128205,3.1022,"Luleå",1.70762734499586
"11202",12845,12845,65.6218225541229,21.9554795979508,2085,19,0.957717857142857,8.73461428571429,"Luleå",1.82736381590484
"11203",12846,12846,65.6218225541229,21.9554795979508,2085,20,0.877624450549451,14.3936714285714,"Luleå",1.91354028837596
"11204",12847,12847,65.6218225541229,21.9554795979508,2085,21,0.891066666666667,10.4287285714286,"Luleå",2.1427163179158
"11205",12848,12848,65.6218225541229,21.9554795979508,2085,22,0.839346794871795,14.0164142857143,"Luleå",2.25544993956989
"11206",12849,12849,65.6218225541229,21.9554795979508,2085,23,0.659897802197802,20.5654857142857,"Luleå",2.44543943211922
"11207",12850,12850,65.6218225541229,21.9554795979508,2085,24,0.623159249084249,11.4890142857143,"Luleå",2.65727479563707
